Order_ID,Date,Product,Category,Region,Segment,Sales_Rep,Quantity,Unit_Price,Discount,Revenue,Status
ORD-21063,2024-01-19,Headset,Electronics,South,Budget,Carol Singh,7,114.57,0.09,729.83,Completed
ORD-20522,2024-01-19,USB Hub,Accessories,East,Budget,Frank Torres,4,31.77,0.18,104.22,Returned
ORD-20739,2024-01-19,Keyboard,Accessories,South,Standard,David Kim,7,78.92,0.07,513.8,Completed
ORD-20552,2024-01-19,Headset,Electronics,North,Budget,Henry Zhang,5,116.27,0.01,575.52,Completed
ORD-20352,2024-01-20,Docking Station,Accessories,North,Premium,Henry Zhang,7,184.86,0.15,1099.9,Pending
ORD-20966,2024-01-20,Headset,Electronics,South,Standard,Henry Zhang,8,119.38,0.19,773.59,Returned
ORD-20667,2024-01-20,Headset,Electronics,South,Premium,David Kim,4,120.07,0.1,432.25,Completed
ORD-20668,2024-01-20,Laptop,Electronics,West,Standard,Frank Torres,10,1190.98,0.17,9885.17,Returned
ORD-20019,2024-01-20,Monitor,Electronics,South,Standard,Carol Singh,6,345.01,0.16,1738.83,Pending
ORD-20554,2024-01-20,Laptop,Electronics,South,Standard,Frank Torres,7,1176.34,0.01,8152.06,Completed
ORD-20769,2024-01-20,Headset,Electronics,West,Standard,Eva Patel,9,123.11,0.13,963.95,Pending
ORD-20036,2024-01-20,Docking Station,Accessories,East,Premium,Frank Torres,5,196.24,0.17,814.41,Completed
ORD-20942,2024-01-21,Mouse,Accessories,East,Standard,Frank Torres,9,40.88,0.18,301.67,Completed
ORD-20439,2024-01-21,Monitor,Electronics,East,Standard,Frank Torres,9,352.28,0.05,3012.0,Pending
ORD-20195,2024-01-21,Keyboard,Accessories,North,Budget,Grace Lee,12,79.85,0.19,776.13,Pending
ORD-21187,2024-01-21,Docking Station,Accessories,South,Standard,Alice Monroe,8,204.66,0.05,1555.43,Completed
ORD-20655,2024-01-21,Mouse,Accessories,West,Budget,Bob Chen,1,44.65,0.01,44.2,Pending
ORD-20594,2024-01-21,Mouse,Accessories,East,Budget,Alice Monroe,4,42.16,0.01,166.96,Completed
ORD-20850,2024-01-22,Keyboard,Accessories,East,Budget,Eva Patel,4,73.56,0.15,250.1,Returned
ORD-20622,2024-01-22,Webcam,Electronics,East,Budget,Eva Patel,4,83.29,0.03,323.17,Completed
ORD-20485,2024-01-22,Mouse,Accessories,North,Standard,Carol Singh,5,47.36,0.17,196.54,Completed
ORD-20706,2024-01-22,Docking Station,Accessories,North,Premium,Alice Monroe,6,184.87,0.19,898.46,Pending
ORD-20872,2024-01-22,Headset,Electronics,South,Premium,Carol Singh,11,130.83,0.06,1352.8,Completed
ORD-21014,2024-01-23,USB Hub,Accessories,West,Premium,Carol Singh,3,33.87,0.08,93.48,Completed
ORD-20556,2024-01-24,Mouse,Accessories,East,Standard,Alice Monroe,8,48.35,0.06,363.56,Pending
ORD-20159,2024-01-24,Mouse,Accessories,South,Budget,Bob Chen,3,46.6,0.0,139.8,Completed
ORD-20246,2024-01-24,Headset,Electronics,North,Standard,Henry Zhang,7,124.26,0.02,852.43,Completed
ORD-20145,2024-01-25,Monitor,Electronics,West,Standard,David Kim,3,358.91,0.1,969.06,Completed
ORD-20527,2024-01-25,Laptop,Electronics,East,Budget,Grace Lee,12,1162.8,0.18,11441.95,Completed
ORD-20878,2024-01-25,Webcam,Electronics,North,Standard,Alice Monroe,8,86.71,0.13,603.49,Completed
ORD-20753,2024-01-25,Mouse,Accessories,South,Premium,David Kim,12,47.99,0.16,483.76,Completed
ORD-20638,2024-01-26,Monitor,Electronics,West,Premium,Frank Torres,11,360.3,0.11,3527.35,Completed
ORD-21090,2024-01-26,Keyboard,Accessories,North,Budget,Bob Chen,2,75.31,0.03,146.09,Completed
ORD-20324,2024-01-27,Monitor,Electronics,West,Premium,David Kim,2,321.95,0.0,643.89,Pending
ORD-20593,2024-01-27,Monitor,Electronics,South,Budget,Eva Patel,12,364.0,0.19,3538.13,Completed
ORD-20592,2024-01-28,USB Hub,Accessories,West,Premium,Alice Monroe,7,34.08,0.02,233.76,Completed
ORD-20686,2024-01-28,Docking Station,Accessories,North,Premium,David Kim,2,206.68,0.14,355.49,Pending
ORD-20898,2024-01-28,Docking Station,Accessories,North,Standard,Henry Zhang,9,218.91,0.09,1792.91,Pending
ORD-20588,2024-01-28,Mouse,Accessories,South,Premium,Grace Lee,3,43.74,0.05,124.67,Pending
ORD-20262,2024-01-28,Laptop,Electronics,South,Budget,Henry Zhang,2,1237.51,0.03,2400.76,Completed
ORD-20134,2024-01-28,Docking Station,Accessories,North,Standard,Grace Lee,9,206.55,0.16,1561.49,Completed
ORD-20741,2024-01-28,Mouse,Accessories,East,Standard,Henry Zhang,2,45.66,0.07,84.93,Pending
ORD-20095,2024-01-28,Laptop,Electronics,East,Premium,Henry Zhang,4,1195.03,0.17,3967.49,Completed
ORD-20248,2024-01-29,Keyboard,Accessories,East,Standard,Carol Singh,7,74.58,0.18,428.1,Returned
ORD-20310,2024-01-29,Webcam,Electronics,South,Budget,Bob Chen,3,97.44,0.14,251.39,Completed
ORD-20486,2024-01-29,Headset,Electronics,South,Budget,Eva Patel,12,119.9,0.11,1280.54,Completed
ORD-20311,2024-01-29,USB Hub,Accessories,North,Premium,Bob Chen,3,36.69,0.12,96.87,Completed
ORD-21132,2024-01-29,Monitor,Electronics,North,Standard,Henry Zhang,8,362.19,0.1,2607.76,Pending
ORD-20007,2024-01-29,Headset,Electronics,South,Premium,Grace Lee,12,124.77,0.06,1407.43,Completed
ORD-21017,2024-01-29,Mouse,Accessories,East,Budget,Grace Lee,10,42.29,0.1,380.57,Pending
ORD-20751,2024-01-30,Monitor,Electronics,South,Budget,Carol Singh,5,345.69,0.11,1538.32,Pending
ORD-20085,2024-01-30,Laptop,Electronics,North,Standard,Carol Singh,8,1285.07,0.19,8327.26,Pending
ORD-20948,2024-01-31,Keyboard,Accessories,West,Premium,Alice Monroe,4,84.62,0.14,291.09,Pending
ORD-20172,2024-01-31,Docking Station,Accessories,South,Budget,Bob Chen,5,200.31,0.14,861.35,Returned
ORD-20933,2024-01-31,Docking Station,Accessories,West,Budget,Henry Zhang,5,181.01,0.08,832.64,Pending
ORD-20613,2024-01-31,Laptop,Electronics,West,Standard,Henry Zhang,10,1165.7,0.01,11540.47,Completed
ORD-21058,2024-02-01,Mouse,Accessories,East,Premium,Bob Chen,4,47.12,0.07,175.29,Completed
ORD-20768,2024-02-01,Mouse,Accessories,East,Standard,Bob Chen,11,44.24,0.13,423.42,Completed
ORD-20350,2024-02-02,Keyboard,Accessories,South,Standard,Bob Chen,11,80.59,0.1,797.82,Returned
ORD-20533,2024-02-02,Mouse,Accessories,South,Budget,Grace Lee,1,47.09,0.01,46.62,Completed
ORD-20633,2024-02-02,USB Hub,Accessories,West,Premium,Carol Singh,7,36.88,0.14,222.01,Pending
ORD-20349,2024-02-03,USB Hub,Accessories,West,Standard,David Kim,4,37.56,0.0,150.25,Completed
ORD-20704,2024-02-03,Webcam,Electronics,East,Standard,Frank Torres,9,92.63,0.15,708.6,Completed
ORD-20221,2024-02-03,Webcam,Electronics,North,Budget,Frank Torres,12,92.96,0.1,1003.94,Completed
ORD-20242,2024-02-03,USB Hub,Accessories,North,Budget,David Kim,3,33.87,0.18,83.32,Completed
ORD-20500,2024-02-04,Mouse,Accessories,North,Standard,Henry Zhang,12,49.5,0.11,528.65,Completed
ORD-20426,2024-02-04,Monitor,Electronics,East,Premium,Frank Torres,8,321.75,0.0,2574.01,Completed
ORD-20348,2024-02-04,Headset,Electronics,West,Premium,Frank Torres,3,120.92,0.07,337.37,Completed
ORD-20564,2024-02-04,USB Hub,Accessories,North,Budget,Alice Monroe,3,35.24,0.14,90.93,Completed
ORD-20689,2024-02-04,Keyboard,Accessories,West,Budget,Carol Singh,12,79.83,0.01,948.42,Completed
ORD-20160,2024-02-05,Mouse,Accessories,South,Premium,Grace Lee,9,48.87,0.19,356.3,Completed
ORD-20540,2024-02-06,Laptop,Electronics,East,Standard,Bob Chen,4,1299.01,0.19,4208.79,Completed
ORD-20022,2024-02-06,Headset,Electronics,West,Budget,Henry Zhang,4,129.95,0.17,431.44,Completed
ORD-20423,2024-02-07,Keyboard,Accessories,South,Premium,Alice Monroe,4,83.84,0.1,301.83,Completed
ORD-20987,2024-02-07,Keyboard,Accessories,North,Budget,Bob Chen,8,84.88,0.16,570.4,Completed
ORD-20755,2024-02-08,Laptop,Electronics,North,Standard,Frank Torres,7,1082.64,0.1,6820.61,Completed
ORD-20111,2024-02-08,USB Hub,Accessories,West,Standard,Henry Zhang,4,35.03,0.1,126.1,Completed
ORD-20640,2024-02-08,Laptop,Electronics,East,Standard,David Kim,1,1124.91,0.11,1001.17,Completed
ORD-20970,2024-02-08,USB Hub,Accessories,South,Standard,Grace Lee,4,36.75,0.13,127.9,Completed
ORD-20326,2024-02-09,Headset,Electronics,North,Premium,Bob Chen,9,112.79,0.03,984.66,Completed
ORD-20692,2024-02-09,USB Hub,Accessories,South,Standard,Bob Chen,12,34.93,0.11,373.01,Completed
ORD-21190,2024-02-09,Monitor,Electronics,South,Standard,David Kim,3,371.97,0.2,892.72,Completed
ORD-21145,2024-02-09,Laptop,Electronics,South,Standard,David Kim,6,1136.24,0.02,6681.1,Completed
ORD-20812,2024-02-09,Mouse,Accessories,South,Premium,Frank Torres,5,48.94,0.07,227.58,Pending
ORD-20750,2024-02-10,Headset,Electronics,East,Standard,Carol Singh,9,118.96,0.18,877.89,Returned
ORD-20930,2024-02-11,Docking Station,Accessories,North,Standard,David Kim,1,209.93,0.08,193.14,Pending
ORD-20734,2024-02-11,Docking Station,Accessories,West,Budget,Eva Patel,4,218.26,0.07,811.94,Completed
ORD-21138,2024-02-11,USB Hub,Accessories,West,Budget,Frank Torres,6,33.4,0.13,174.36,Completed
ORD-20889,2024-02-11,Webcam,Electronics,East,Premium,Carol Singh,6,96.73,0.08,533.96,Returned
ORD-20076,2024-02-12,Monitor,Electronics,South,Premium,Bob Chen,10,355.95,0.11,3167.99,Returned
ORD-21136,2024-02-12,Mouse,Accessories,North,Budget,Alice Monroe,1,43.14,0.15,36.67,Pending
ORD-20179,2024-02-12,Headset,Electronics,West,Premium,Henry Zhang,8,121.57,0.05,923.96,Completed
ORD-20573,2024-02-13,Docking Station,Accessories,North,Budget,Grace Lee,4,202.04,0.12,711.18,Returned
ORD-20806,2024-02-13,Laptop,Electronics,South,Budget,Bob Chen,2,1100.0,0.16,1848.0,Completed
ORD-20663,2024-02-13,Headset,Electronics,North,Standard,Carol Singh,6,123.04,0.1,664.4,Completed
ORD-20718,2024-02-13,Docking Station,Accessories,West,Budget,Alice Monroe,1,188.21,0.05,178.8,Completed
ORD-20288,2024-02-13,Docking Station,Accessories,North,Standard,Frank Torres,10,215.48,0.15,1831.54,Returned
ORD-20918,2024-02-13,Mouse,Accessories,East,Budget,Henry Zhang,2,46.69,0.18,76.58,Completed
ORD-20220,2024-02-14,Monitor,Electronics,West,Budget,David Kim,4,377.56,0.13,1313.92,Completed
ORD-21188,2024-02-14,Laptop,Electronics,West,Standard,Frank Torres,1,1265.57,0.09,1151.67,Completed
ORD-20414,2024-02-15,USB Hub,Accessories,South,Budget,David Kim,9,36.67,0.2,264.03,Completed
ORD-20148,2024-02-15,Webcam,Electronics,West,Standard,Bob Chen,7,93.67,0.09,596.68,Completed
ORD-20451,2024-02-15,Laptop,Electronics,East,Budget,Grace Lee,11,1265.69,0.17,11555.78,Completed
ORD-20590,2024-02-16,Keyboard,Accessories,East,Premium,Bob Chen,6,76.06,0.2,365.1,Completed
ORD-21197,2024-02-16,Docking Station,Accessories,East,Budget,Henry Zhang,11,211.06,0.07,2159.14,Pending
ORD-21098,2024-02-16,Mouse,Accessories,East,Premium,David Kim,8,47.93,0.09,348.92,Completed
ORD-21073,2024-02-16,Keyboard,Accessories,South,Premium,David Kim,6,77.62,0.13,405.19,Returned
ORD-20684,2024-02-16,Laptop,Electronics,North,Standard,Carol Singh,1,1221.06,0.08,1123.38,Completed
ORD-20314,2024-02-16,Monitor,Electronics,South,Budget,Alice Monroe,4,347.46,0.18,1139.66,Completed
ORD-20259,2024-02-16,Mouse,Accessories,North,Budget,Alice Monroe,8,47.51,0.12,334.44,Completed
ORD-20301,2024-02-17,Laptop,Electronics,East,Budget,Grace Lee,5,1259.46,0.06,5919.45,Pending
ORD-20016,2024-02-17,Headset,Electronics,North,Premium,Carol Singh,7,116.51,0.11,725.86,Completed
ORD-21047,2024-02-17,Monitor,Electronics,East,Standard,Eva Patel,2,376.56,0.16,632.62,Completed
ORD-20852,2024-02-17,Monitor,Electronics,North,Premium,Henry Zhang,5,317.68,0.03,1540.73,Pending
ORD-20110,2024-02-17,USB Hub,Accessories,South,Premium,Alice Monroe,11,34.99,0.1,346.41,Pending
ORD-20206,2024-02-17,Keyboard,Accessories,West,Budget,Henry Zhang,10,73.65,0.04,706.99,Returned
ORD-20072,2024-02-18,Docking Station,Accessories,East,Premium,Bob Chen,4,181.04,0.07,673.49,Completed
ORD-21020,2024-02-18,Headset,Electronics,East,Budget,David Kim,6,129.3,0.02,760.29,Returned
ORD-20635,2024-02-18,Docking Station,Accessories,West,Premium,Henry Zhang,4,193.76,0.19,627.79,Completed
ORD-20847,2024-02-20,Headset,Electronics,North,Premium,Bob Chen,11,108.74,0.04,1148.27,Completed
ORD-20676,2024-02-20,USB Hub,Accessories,East,Premium,Eva Patel,7,34.49,0.13,210.06,Returned
ORD-20028,2024-02-21,USB Hub,Accessories,North,Premium,Frank Torres,11,33.96,0.15,317.48,Completed
ORD-20834,2024-02-21,Laptop,Electronics,North,Budget,Alice Monroe,4,1214.56,0.16,4080.92,Completed
ORD-21006,2024-02-22,USB Hub,Accessories,North,Budget,Frank Torres,2,33.43,0.19,54.15,Pending
ORD-21191,2024-02-23,Laptop,Electronics,West,Premium,Carol Singh,6,1273.15,0.07,7104.16,Completed
ORD-20624,2024-02-23,Laptop,Electronics,East,Premium,Carol Singh,8,1151.54,0.09,8383.18,Completed
ORD-20929,2024-02-23,Monitor,Electronics,North,Premium,Carol Singh,6,319.22,0.07,1781.27,Completed
ORD-20366,2024-02-23,Webcam,Electronics,West,Budget,Henry Zhang,9,91.1,0.1,737.9,Completed
ORD-21101,2024-02-23,Docking Station,Accessories,East,Premium,Alice Monroe,12,193.13,0.14,1993.05,Completed
ORD-20531,2024-02-23,Docking Station,Accessories,North,Budget,Eva Patel,6,208.57,0.1,1126.27,Completed
ORD-20297,2024-02-23,Webcam,Electronics,South,Standard,Bob Chen,3,82.61,0.01,245.36,Completed
ORD-21120,2024-02-23,Headset,Electronics,South,Premium,Henry Zhang,3,110.84,0.12,292.61,Completed
ORD-20180,2024-02-24,Mouse,Accessories,West,Standard,Carol Singh,5,45.9,0.02,224.91,Pending
ORD-20436,2024-02-24,Laptop,Electronics,North,Budget,Eva Patel,5,1267.74,0.14,5451.29,Returned
ORD-20098,2024-02-24,Headset,Electronics,East,Standard,Alice Monroe,9,119.99,0.03,1047.51,Completed
ORD-20139,2024-02-25,Headset,Electronics,South,Premium,Henry Zhang,6,126.66,0.03,737.16,Pending
ORD-20309,2024-02-25,Webcam,Electronics,East,Budget,Carol Singh,3,96.99,0.04,279.33,Completed
ORD-20747,2024-02-25,Docking Station,Accessories,West,Standard,Frank Torres,6,217.33,0.08,1199.68,Completed
ORD-20257,2024-02-26,Webcam,Electronics,West,Budget,Grace Lee,5,84.68,0.08,389.52,Completed
ORD-20720,2024-02-26,Headset,Electronics,South,Budget,Eva Patel,12,119.55,0.0,1434.57,Completed
ORD-20408,2024-02-26,Laptop,Electronics,South,Budget,Carol Singh,5,1302.18,0.07,6055.12,Completed
ORD-20434,2024-02-26,Mouse,Accessories,South,Budget,Henry Zhang,11,46.55,0.16,430.13,Pending
ORD-20425,2024-02-27,Keyboard,Accessories,North,Budget,Frank Torres,8,73.39,0.01,581.23,Completed
ORD-20961,2024-02-27,Monitor,Electronics,East,Standard,Bob Chen,3,323.24,0.18,795.17,Returned
ORD-21082,2024-02-28,Docking Station,Accessories,North,Premium,David Kim,12,206.06,0.07,2299.66,Returned
ORD-20472,2024-02-29,Laptop,Electronics,East,Premium,Alice Monroe,7,1175.94,0.0,8231.58,Completed
ORD-20154,2024-03-01,Headset,Electronics,East,Budget,David Kim,11,120.58,0.2,1061.09,Completed
ORD-20529,2024-03-01,Headset,Electronics,East,Premium,Grace Lee,2,108.33,0.07,201.49,Completed
ORD-20923,2024-03-02,Docking Station,Accessories,West,Standard,Frank Torres,2,210.71,0.15,358.2,Pending
ORD-20331,2024-03-02,Keyboard,Accessories,North,Standard,Henry Zhang,9,81.39,0.1,659.23,Completed
ORD-20858,2024-03-02,Keyboard,Accessories,South,Budget,Bob Chen,6,80.33,0.03,467.54,Returned
ORD-20566,2024-03-02,Laptop,Electronics,East,Premium,Grace Lee,5,1184.25,0.16,4973.87,Completed
ORD-20994,2024-03-02,Keyboard,Accessories,West,Budget,Bob Chen,3,82.01,0.11,218.97,Completed
ORD-20014,2024-03-03,Docking Station,Accessories,North,Budget,David Kim,7,187.86,0.17,1091.44,Completed
ORD-20477,2024-03-04,Docking Station,Accessories,West,Standard,Grace Lee,7,189.95,0.04,1276.46,Completed
ORD-20785,2024-03-04,Webcam,Electronics,West,Budget,Frank Torres,12,81.97,0.03,954.17,Completed
ORD-21143,2024-03-04,Headset,Electronics,West,Premium,Frank Torres,6,114.76,0.01,681.68,Completed
ORD-21018,2024-03-04,Mouse,Accessories,North,Standard,Henry Zhang,10,44.84,0.15,381.18,Completed
ORD-20404,2024-03-05,Monitor,Electronics,South,Premium,Bob Chen,6,367.37,0.01,2182.18,Completed
ORD-21094,2024-03-05,Monitor,Electronics,South,Premium,Eva Patel,2,327.34,0.06,615.39,Completed
ORD-21077,2024-03-05,Webcam,Electronics,East,Budget,Frank Torres,6,87.42,0.05,498.3,Returned
ORD-21171,2024-03-05,Headset,Electronics,South,Standard,Eva Patel,11,121.62,0.04,1284.28,Completed
ORD-21131,2024-03-06,Keyboard,Accessories,East,Budget,Grace Lee,5,79.39,0.07,369.18,Completed
ORD-21036,2024-03-06,Mouse,Accessories,North,Premium,Alice Monroe,4,40.62,0.19,131.6,Completed
ORD-20719,2024-03-07,Mouse,Accessories,West,Standard,Grace Lee,12,48.09,0.11,513.59,Completed
ORD-21112,2024-03-07,Docking Station,Accessories,South,Budget,Carol Singh,1,219.4,0.01,217.2,Returned
ORD-20892,2024-03-08,Docking Station,Accessories,West,Premium,Henry Zhang,4,185.97,0.1,669.48,Pending
ORD-21072,2024-03-09,Docking Station,Accessories,West,Standard,Alice Monroe,5,190.33,0.12,837.47,Returned
ORD-20253,2024-03-09,Headset,Electronics,South,Premium,Eva Patel,2,123.16,0.14,211.84,Returned
ORD-20376,2024-03-09,Docking Station,Accessories,South,Budget,Grace Lee,12,186.21,0.17,1854.62,Returned
ORD-20732,2024-03-10,Docking Station,Accessories,North,Premium,David Kim,5,217.25,0.03,1053.64,Completed
ORD-20387,2024-03-10,Keyboard,Accessories,West,Premium,Eva Patel,5,82.91,0.2,331.63,Returned
ORD-20951,2024-03-10,Webcam,Electronics,North,Budget,Frank Torres,1,95.59,0.0,95.59,Completed
ORD-20455,2024-03-11,Monitor,Electronics,East,Budget,Carol Singh,4,326.18,0.17,1082.92,Pending
ORD-21093,2024-03-11,Webcam,Electronics,West,Standard,Grace Lee,4,86.23,0.11,306.98,Pending
ORD-20883,2024-03-11,Webcam,Electronics,East,Standard,Alice Monroe,5,81.34,0.13,353.81,Completed
ORD-20108,2024-03-11,Keyboard,Accessories,East,Budget,David Kim,11,74.81,0.04,790.02,Completed
ORD-20585,2024-03-11,Headset,Electronics,North,Budget,Henry Zhang,3,131.27,0.14,338.68,Pending
ORD-20060,2024-03-12,Docking Station,Accessories,South,Budget,Frank Torres,7,216.08,0.17,1255.44,Completed
ORD-21061,2024-03-12,USB Hub,Accessories,East,Standard,Eva Patel,2,33.9,0.09,61.7,Completed
ORD-20202,2024-03-12,Mouse,Accessories,North,Budget,Carol Singh,1,48.71,0.09,44.32,Completed
ORD-20597,2024-03-12,Mouse,Accessories,East,Premium,Bob Chen,5,47.42,0.2,189.68,Pending
ORD-20392,2024-03-12,Monitor,Electronics,West,Budget,Bob Chen,10,374.41,0.14,3219.89,Completed
ORD-20328,2024-03-13,Laptop,Electronics,South,Budget,Eva Patel,12,1202.23,0.01,14282.53,Completed
ORD-20203,2024-03-13,Headset,Electronics,North,Budget,Frank Torres,3,115.42,0.04,332.42,Completed
